epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
,,,,,,,,
0,0.699033356,0.281145515,0.108126661,0.323531164,0.944100022,0.082493008,0.05884969,0.105562086
,,,,,,,,
1,0.96003337,0.055695547,0.055175459,0.077324326,0.975100005,0.037876855,0.053026722,0.05866333
,,,,,,,,
2,0.975733366,0.033588173,0.052646643,0.054225656,0.981600022,0.026433263,0.051133314,0.046477522
,,,,,,,,
3,0.982083348,0.025609387,0.050259267,0.04531102,0.985800028,0.021604233,0.04835185,0.040558158
,,,,,,,,
4,0.984093348,0.023609387,0.045,0.040319694,0.9888047,0.018042333,0.042359988,0.036715768
,,,,,,,,
5,0.986416652,0.019276429,0.041231263,0.035439084,0.988799971,0.014552608,0.036895658,0.029015706
,,,,,,,,
6,0.991516646,0.012455135,0.035025018,0.026184941,0.991499963,0.012689866,0.03265192,0.025489418
,,,,,,,,
7,0.993799981,0.009379181,0.031223531,0.021618805,0.993299966,0.009842916,0.029157797,0.021272772
,,,,,,,,
8,0.99518331,0.007386555,0.027769464,0.018272185,0.993299967,0.008577631,0.025945706,0.018748347
